country,year,month,day,cases
Albania,2020,1,4,0
Albania,2020,1,5,0
Albania,2020,1,6,0
Albania,2020,1,7,0
Albania,2020,1,8,0
Albania,2020,1,9,0
Albania,2020,1,10,0
Albania,2020,1,11,0
Albania,2020,1,12,0
Albania,2020,1,13,0
Albania,2020,1,14,0
Albania,2020,1,15,0
Albania,2020,1,16,0
Albania,2020,1,17,0
Albania,2020,1,18,0
Albania,2020,1,19,0
Albania,2020,1,20,0
Albania,2020,1,21,0
Albania,2020,1,22,0
Albania,2020,1,23,0
Albania,2020,1,24,0
Albania,2020,1,25,0
Albania,2020,1,26,0
Albania,2020,1,27,0
Albania,2020,1,28,0
Albania,2020,1,29,0
Albania,2020,1,30,0
Albania,2020,1,31,0
Albania,2020,2,1,0
Albania,2020,2,2,0
Albania,2020,2,3,0
Albania,2020,2,4,0
Albania,2020,2,5,0
Albania,2020,2,6,0
Albania,2020,2,7,0
Albania,2020,2,8,0
Albania,2020,2,9,0
Albania,2020,2,10,0
Albania,2020,2,11,0
Albania,2020,2,12,0
Albania,2020,2,13,0
Albania,2020,2,14,0
Albania,2020,2,15,0
Albania,2020,2,16,0
Albania,2020,2,17,0
Albania,2020,2,18,0
Albania,2020,2,19,0
Albania,2020,2,20,0
Albania,2020,2,21,0
Albania,2020,2,22,0
Albania,2020,2,23,0
Albania,2020,2,24,0
Albania,2020,2,25,0
Albania,2020,2,26,0
Albania,2020,2,27,0
Albania,2020,2,28,0
Albania,2020,2,29,0
Albania,2020,3,1,0
Albania,2020,3,2,0
Albania,2020,3,3,0
Albania,2020,3,4,0
Albania,2020,3,5,0
Albania,2020,3,6,0
Albania,2020,3,7,0
Albania,2020,3,8,0
Albania,2020,3,9,0
Albania,2020,3,10,0
Albania,2020,3,11,2
Albania,2020,3,12,10
Albania,2020,3,13,15
Albania,2020,3,14,23
Albania,2020,3,15,33
Albania,2020,3,16,38
Albania,2020,3,17,42
Albania,2020,3,18,51
Albania,2020,3,19,55
Albania,2020,3,20,59
Albania,2020,3,21,64
Albania,2020,3,22,70
Albania,2020,3,23,76
Albania,2020,3,24,98
Albania,2020,3,25,104
Albania,2020,3,26,123
Albania,2020,3,27,146
Albania,2020,3,28,174
Albania,2020,3,29,186
Albania,2020,3,30,197
Albania,2020,3,31,212
Albania,2020,4,1,223
Albania,2020,4,2,243
Albania,2020,4,3,259
Albania,2020,4,4,277
Albania,2020,4,5,304
Albania,2020,4,6,333
Albania,2020,4,7,361
Albania,2020,4,8,377
Albania,2020,4,9,383
Albania,2020,4,10,400
Albania,2020,4,11,409
Albania,2020,4,12,416
Albania,2020,4,13,433
Albania,2020,4,14,446
Albania,2020,4,15,467
Albania,2020,4,16,475
Albania,2020,4,17,494
Albania,2020,4,18,518
Albania,2020,4,19,539
Albania,2020,4,20,548
Albania,2020,4,21,562
Albania,2020,4,22,584
Albania,2020,4,23,609
Albania,2020,4,24,634
Albania,2020,4,25,663
Albania,2020,4,26,678
Albania,2020,4,27,712
Albania,2020,4,28,726
Albania,2020,4,29,736
Albania,2020,4,30,750
Albania,2020,5,1,766
Albania,2020,5,2,773
Albania,2020,5,3,782
Albania,2020,5,4,789
Albania,2020,5,5,795
Albania,2020,5,6,803
Albania,2020,5,7,820
Albania,2020,5,8,832
Albania,2020,5,9,842
Albania,2020,5,10,850
Albania,2020,5,11,856
Albania,2020,5,12,868
Albania,2020,5,13,872
Albania,2020,5,14,876
Albania,2020,5,15,880
Albania,2020,5,16,898
Albania,2020,5,17,916
Albania,2020,5,18,933
Albania,2020,5,19,946
Albania,2020,5,20,948
Albania,2020,5,21,949
Albania,2020,5,22,964
Albania,2020,5,23,969
Albania,2020,5,24,981
Albania,2020,5,25,989
Albania,2020,5,26,998
Albania,2020,5,27,1004
Albania,2020,5,28,1029
Albania,2020,5,29,1050
Albania,2020,5,30,1076
Albania,2020,5,31,1099
Albania,2020,6,1,1122
Albania,2020,6,2,1137
Albania,2020,6,3,1143
Albania,2020,6,4,1164
Albania,2020,6,5,1184
Albania,2020,6,6,1197
Albania,2020,6,7,1212
Albania,2020,6,8,1232
Albania,2020,6,9,1246
Albania,2020,6,10,1263
Albania,2020,6,11,1299
Albania,2020,6,12,1341
Albania,2020,6,13,1385
Albania,2020,6,14,1416
Albania,2020,6,15,1464
Albania,2020,6,16,1521
Albania,2020,6,17,1590
Albania,2020,6,18,1672
Albania,2020,6,19,1722
Albania,2020,6,20,1788
Albania,2020,6,21,1838
Albania,2020,6,22,1891
Albania,2020,6,23,1962
Albania,2020,6,24,1995
Albania,2020,6,25,2047
Albania,2020,6,26,2114
Albania,2020,6,27,2192
Albania,2020,6,28,2269
Albania,2020,6,29,2330
Albania,2020,6,30,2402
Albania,2020,7,1,2466
Albania,2020,7,2,2535
Albania,2020,7,3,2580
Albania,2020,7,4,2662
Albania,2020,7,5,2752
Albania,2020,7,6,2819
Albania,2020,7,7,2893
Albania,2020,7,8,2964
Albania,2020,7,9,3038
Albania,2020,7,10,3106
Albania,2020,7,11,3188
Albania,2020,7,12,3278
Albania,2020,7,13,3371
Albania,2020,7,14,3454
Albania,2020,7,15,3571
Albania,2020,7,16,3667
Albania,2020,7,17,3752
Albania,2020,7,18,3851
Albania,2020,7,19,3906
Albania,2020,7,20,4008
Albania,2020,7,21,4090
Albania,2020,7,22,4171
Albania,2020,7,23,4290
Albania,2020,7,24,4358
Albania,2020,7,25,4466
Albania,2020,7,26,4570
Albania,2020,7,27,4637
Albania,2020,7,28,4763
Albania,2020,7,29,4880
Albania,2020,7,30,4997
Albania,2020,7,31,5105
Albania,2020,8,1,5197
Albania,2020,8,2,5276
Albania,2020,8,3,5396
Albania,2020,8,4,5519
Albania,2020,8,5,5620
Albania,2020,8,6,5750
Albania,2020,8,7,5889
Albania,2020,8,8,6016
Albania,2020,8,9,6151
Albania,2020,8,10,6275
Albania,2020,8,11,6411
Albania,2020,8,12,6536
Albania,2020,8,13,6676
Albania,2020,8,14,6817
Albania,2020,8,15,6971
Albania,2020,8,16,7117
Albania,2020,8,17,7260
Albania,2020,8,18,7380
Albania,2020,8,19,7499
Albania,2020,8,20,7654
Albania,2020,8,21,7812
Albania,2020,8,22,7967
Albania,2020,8,23,8119
Albania,2020,8,24,8275
Albania,2020,8,25,8427
Albania,2020,8,26,8605
Albania,2020,8,27,8759
Albania,2020,8,28,8927
Albania,2020,8,29,9083
Albania,2020,8,30,9195
Albania,2020,8,31,9279
Albania,2020,9,1,9380
Albania,2020,9,2,9513
Albania,2020,9,3,9606
Albania,2020,9,4,9728
Albania,2020,9,5,9844
Albania,2020,9,6,9967
Albania,2020,9,7,10102
Albania,2020,9,8,10255
Albania,2020,9,9,10406
Albania,2020,9,10,10553
Albania,2020,9,11,10704
Albania,2020,9,12,10860
Albania,2020,9,13,11021
Albania,2020,9,14,11185
Albania,2020,9,15,11353
Albania,2020,9,16,11520
Albania,2020,9,17,11672
Albania,2020,9,18,11816
Albania,2020,9,19,11948
Albania,2020,9,20,12073
Albania,2020,9,21,12226
Albania,2020,9,22,12385
Albania,2020,9,23,12535
Albania,2020,9,24,12666
Albania,2020,9,25,12787
Albania,2020,9,26,12921
Albania,2020,9,27,13045
Albania,2020,9,28,13153
Albania,2020,9,29,13259
Albania,2020,9,30,13391
Albania,2020,10,1,13518
Albania,2020,10,2,13649
Albania,2020,10,3,13806
Albania,2020,10,4,13965
Albania,2020,10,5,14117
Albania,2020,10,6,14266
Albania,2020,10,7,14410
Albania,2020,10,8,14568
Albania,2020,10,9,14730
Albania,2020,10,10,14899
Albania,2020,10,11,15066
Albania,2020,10,12,15231
Albania,2020,10,13,15399
Albania,2020,10,14,15570
Albania,2020,10,15,15752
Albania,2020,10,16,15955
Albania,2020,10,17,16212
Albania,2020,10,18,16501
Albania,2020,10,19,16774
Albania,2020,10,20,17055
Albania,2020,10,21,17350
Albania,2020,10,22,17651
Albania,2020,10,23,17948
Albania,2020,10,24,18250
Albania,2020,10,25,18556
Albania,2020,10,26,18858
Albania,2020,10,27,19157
Albania,2020,10,28,19445
Albania,2020,10,29,19729
Albania,2020,10,30,20040
Albania,2020,10,31,20315
Albania,2020,11,1,20634
Albania,2020,11,2,20875
Albania,2020,11,3,21202
Albania,2020,11,4,21523
Albania,2020,11,5,21904
Albania,2020,11,6,22300
Albania,2020,11,7,22721
Albania,2020,11,8,23210
Albania,2020,11,9,23705
Albania,2020,11,10,24206
Albania,2020,11,11,24731
Albania,2020,11,12,25294
Albania,2020,11,13,25801
Albania,2020,11,14,26211
Albania,2020,11,15,26701
Albania,2020,11,16,27233
Albania,2020,11,17,27830
Albania,2020,11,18,28432
Albania,2020,11,19,29126
Albania,2020,11,20,29837
Albania,2020,11,21,30623
Albania,2020,11,22,31459
Albania,2020,11,23,32196
Albania,2020,11,24,32761
Albania,2020,11,25,33556
Albania,2020,11,26,34300
Albania,2020,11,27,34944
Albania,2020,11,28,35600
Albania,2020,11,29,36245
