ISO3,country,year,month,day,cases
ALB,Albania,2020,1,4,0
ALB,Albania,2020,1,5,0
ALB,Albania,2020,1,6,0
ALB,Albania,2020,1,7,0
ALB,Albania,2020,1,8,0
ALB,Albania,2020,1,9,0
ALB,Albania,2020,1,10,0
ALB,Albania,2020,1,11,0
ALB,Albania,2020,1,12,0
ALB,Albania,2020,1,13,0
ALB,Albania,2020,1,14,0
ALB,Albania,2020,1,15,0
ALB,Albania,2020,1,16,0
ALB,Albania,2020,1,17,0
ALB,Albania,2020,1,18,0
ALB,Albania,2020,1,19,0
ALB,Albania,2020,1,20,0
ALB,Albania,2020,1,21,0
ALB,Albania,2020,1,22,0
ALB,Albania,2020,1,23,0
ALB,Albania,2020,1,24,0
ALB,Albania,2020,1,25,0
ALB,Albania,2020,1,26,0
ALB,Albania,2020,1,27,0
ALB,Albania,2020,1,28,0
ALB,Albania,2020,1,29,0
ALB,Albania,2020,1,30,0
ALB,Albania,2020,1,31,0
ALB,Albania,2020,2,1,0
ALB,Albania,2020,2,2,0
ALB,Albania,2020,2,3,0
ALB,Albania,2020,2,4,0
ALB,Albania,2020,2,5,0
ALB,Albania,2020,2,6,0
ALB,Albania,2020,2,7,0
ALB,Albania,2020,2,8,0
ALB,Albania,2020,2,9,0
ALB,Albania,2020,2,10,0
ALB,Albania,2020,2,11,0
ALB,Albania,2020,2,12,0
ALB,Albania,2020,2,13,0
ALB,Albania,2020,2,14,0
ALB,Albania,2020,2,15,0
ALB,Albania,2020,2,16,0
ALB,Albania,2020,2,17,0
ALB,Albania,2020,2,18,0
ALB,Albania,2020,2,19,0
ALB,Albania,2020,2,20,0
ALB,Albania,2020,2,21,0
ALB,Albania,2020,2,22,0
ALB,Albania,2020,2,23,0
ALB,Albania,2020,2,24,0
ALB,Albania,2020,2,25,0
ALB,Albania,2020,2,26,0
ALB,Albania,2020,2,27,0
ALB,Albania,2020,2,28,0
ALB,Albania,2020,2,29,0
ALB,Albania,2020,3,1,0
ALB,Albania,2020,3,2,0
ALB,Albania,2020,3,3,0
ALB,Albania,2020,3,4,0
